(34.202014332566854, 93.96926207859084)
(31.351846471519618, 86.13849023870827)
(28.50167861047238, 78.3077183988257)
(25.651510749425142, 70.47694655894313)
(22.8013428883779, 62.646174719060554)
(19.951175027330667, 54.815402879177995)
(17.101007166283427, 46.98463103929542)
(14.25083930523619, 39.15385919941285)
(11.40067144418895, 31.323087359530277)
(8.550503583141714, 23.49231551964771)
(5.7003357220944775, 15.661543679765145)
(2.850167861047236, 7.830771839882566)
(0.0, -0.0)
(-2.850167861047236, -7.830771839882566)
(-5.7003357220944775, -15.661543679765145)
(-8.550503583141714, -23.49231551964771)
(-11.400671444188955, -31.32308735953029)
(-14.250839305236186, -39.15385919941284)
(-17.101007166283427, -46.98463103929542)
(-19.951175027330667, -54.815402879178)
(-22.8013428883779, -62.646174719060554)
(-25.651510749425142, -70.47694655894313)
(-28.501678610472382, -78.30771839882571)
(-31.351846471519615, -86.13849023870826)
(-34.202014332566854, -93.96926207859084)
